fr,id,jobs,kind,name,active,domain,sector,aliases,atsType,careersUrl,parentGroup,canonicalKey,domainSource,lastJobSyncAt,discoveryStatus
0,cmtk21a5m08kpnv2bdz6a1b8s,0,UNKNOWN,Vanity Fair France,0,,MEDIA_AGENCY,,UNKNOWN,,Conde Nast,VANITY_FAIR,,,PENDING
0,cmtk1zrls06jknv2bk040kacx,0,UNKNOWN,Vera Wang Parfums,0,,BEAUTY,,UNKNOWN,,Coty,VERA_WANG_PARFUMS,,,PENDING
0,cmtmws95i0aakso4zzrkmzqjr,0,UNKNOWN,Versace Austria GMBH,0,,RETAIL,,UNKNOWN,,,VERSACE_AUSTRIA_GMBH,,,PENDING
0,cmtlylj4f0chmqf5ki5bcjo6p,0,UNKNOWN,Versace Canada,0,,RETAIL,,UNKNOWN,,,VERSACE_CANADA,,,PENDING
0,cmtlyljci0cjmqf5krn8qvljx,0,UNKNOWN,Versace Deutschland GmbH,0,,RETAIL,,UNKNOWN,,,VERSACE_DEUTSCHLAND_GMBH,,,PENDING
0,cmtlyljmv0cmiqf5kjicddtz7,0,UNKNOWN,"Versace Japan Co., Ltd.",0,,RETAIL,,UNKNOWN,,,VERSACE_JAPAN_CO_LTD,,,PENDING
0,cmtlyljgg0ckpqf5kw7pafgba,0,UNKNOWN,Versace Suisse SA,0,,RETAIL,,UNKNOWN,,,VERSACE_SUISSE,,,PENDING
0,cmtlylj7c0ci6qf5kmfivkt10,0,UNKNOWN,"Versace USA, Inc.",0,,RETAIL,,UNKNOWN,,,VERSACE_USA_INC,,,PENDING
0,cmtlyev26004tqf5k2u68ppc5,0,UNKNOWN,VisionLab,0,visionlab.es,RETAIL,,UNKNOWN,,,VISIONLAB,wikidata,,PENDING
0,cmtk20yns085env2b2i9ccyg2,0,UNKNOWN,Vogue France,0,,MEDIA_AGENCY,,UNKNOWN,,Conde Nast,VOGUE,,,PENDING
0,cmtkdvvje1s44nf2b0y8tncyi,0,UNKNOWN,WEEKEND MAXMARA,0,,OTHER,,UNKNOWN,,,WEEKEND_MAXMARA,,,PENDING
0,cmtlyl7vy0bxcqf5kczwfj72i,0,UNKNOWN,Wing,0,,RETAIL,,UNKNOWN,,,WING,,,PENDING
0,cmtkdw1to1twrnf2b34qv04xc,0,UNKNOWN,YALLÄ,0,,OTHER,,UNKNOWN,,,YALLA,,,PENDING
0,cmtkdw3ow1uk2nf2bn2aldzt4,0,UNKNOWN,YOUNIC BY DINA,0,,FASHION,,UNKNOWN,,,YOUNIC_BY_DINA,,,PENDING
