id,name,canonicalKey,kind,domain,parentGroup,activeJobs,allJobs
"cmtlyfg6v00nqqf5k929kj41w","Columbia Sportswear Company","COLUMBIA_SPORTSWEAR_COMPANY","UNKNOWN","columbia.com","","5","5"
"cmtpj2h5g14hwpf5ldzgkrcyu","Comadur","COMADUR","UNKNOWN","comadur.com","","3","3"
"cmtkdvvn31s4znf2ba3q5d95e","COM DEMAIN","COM_DEMAIN","UNKNOWN","","","0","1"
"cmtkdw3nw1ujrnf2brkg20jem","COMITÉ COLBERT","COMITE_COLBERT","UNKNOWN","","","0","0"
"cmtkdvv4v1rymnf2bli4c5yus","COMME TU VEUX","COMME_TU_VEUX","UNKNOWN","","","0","0"
"cmtkdvvws1s8pnf2bwla95cz7","COMPTOIR DES COTONNIERS","COMPTOIR_DES_COTONNIERS","UNKNOWN","comptoirdescotonniers.com","","0","1"
"cmtnac0xi2sdfqq5lk7d6j81z","COMPTOIR VINTAGE","COMPTOIR_VINTAGE","UNKNOWN","comptoirvintage.com","","0","1"
"cmtkdvvyz1s9hnf2b7y3h2cj3","CONCEPT RECRUTEMENT","CONCEPT_RECRUTEMENT","UNKNOWN","concept-recrutement.fr","","4","10"
"cmtk20nla07q3nv2buhvgyyas","Condé Nast","CONDE_NAST","UNKNOWN","","Conde Nast","11","17"
"cmtrsgqhl0mbxpg5m7rat0xsy","Conde Nast de México, S.A. de C.V.","CONDE_NAST_DE_MEXICO_S_A_DE_C_V","UNKNOWN","","","1","1"
"cmtrsgqb10m8apg5mci2jrzoa","Condé Nast Digital Taiwan","CONDE_NAST_DIGITAL_TAIWAN","UNKNOWN","","","1","1"
"cmtlyqk520n1qqf5kh7soj978","Condé Nast Digital Taiwan Co. Ltd","CONDE_NAST_DIGITAL_TAIWAN_CO_LTD","UNKNOWN","","","0","0"
"cmtlyqjch0msyqf5k52v58bzq","Condé Nast Germany GmbH","CONDE_NAST_GERMANY_GMBH","UNKNOWN","","","0","0"
"cmtlyqizz0mp2qf5k96kqbr52","Condé Nast Holdings Limited","CONDE_NAST_HOLDINGS_LIMITED","UNKNOWN","","","0","0"
"cmtrsgq7j0m6bpg5m6jfgt7ua","CONDE NAST (INDIA) PVT LTD - 30360","CONDE_NAST_INDIA_PVT_LTD_30360","UNKNOWN","","","5","5"
"cmtrsgp8t0lw1pg5mflkju81q","CONDE NAST (INDIA) PVT LTD - 30361","CONDE_NAST_INDIA_PVT_LTD_30361","UNKNOWN","","","6","6"
