"maison","careers_domain","kind","entry_url","job_url_pattern","robots_verdict"
"Foot Locker France","careers.footlocker.com","phenom","{""origin"": ""https://careers.footlocker.com"", ""brandTag"": ""tags4""}","","ALLOWED"
"L’Oréal Professionnel","careers.loreal.com","avature","{""listingUrl"": ""https://careers.loreal.com/en_US/jobs/SearchJobs/?jobOffset=0"", ""origin"": ""https://careers.loreal.com""}","","ALLOWED"
"Dr. Jart+ +13","careers.elcompanies.com","eightfold","{""origin"": ""https://careers.elcompanies.com"", ""domain"": ""elcompanies.com""}","","ALLOWED"
"Hermès","","wttj","{""slug"": ""hermes""}","","ALLOWED"
"Sandro","","smartrecruiters-whitelabel","{""vendor"": ""SmartRecruiters"", ""company"": ""SMCP"", ""api"": ""https://api.smartrecruiters.com/v1/companies/SMCP/postings?limit=100"", ""brandFacet"": ""customField fieldLabel=Brands""}","","ALLOWED"
"Richemont (toutes Maisons)","richemont.wd3.myworkdayjobs.com","workday","{""tenant"": ""richemont"", ""site"": ""broadbean_external"", ""origin"": ""https://richemont.wd3.myworkdayjobs.com""}","","ALLOWED"
"Element +6","recrutement.groupe-beaumanoir.com","magnet","{""siteKey"": ""9550007d348362827f2534be59208f28"", ""origin"": ""https://recrutement.groupe-beaumanoir.com""}","","ALLOWED"
"Jean Paul Gaultier +5","jobs.puig.com","successfactors","{""origin"": ""https://jobs.puig.com""}","","ALLOWED"
"A-Derma +4","pierrefabre.wd3.myworkdayjobs.com","workday","{""tenant"": ""pierrefabre"", ""site"": ""External_Career_Site"", ""origin"": ""https://pierrefabre.wd3.myworkdayjobs.com""}","","ALLOWED"
"Aptar Beauty","jobs.aptar.com","successfactors","{""origin"": ""https://jobs.aptar.com""}","","ALLOWED"
"Etam","career.groupeetam.com","teamtailor","{""origin"": ""https://career.groupeetam.com""}","","ALLOWED"
"Marella","","smartrecruiters-whitelabel","{""company"": ""MaxMaraFashionGroup""}","","ALLOWED"
"Galeries Lafayette","carrieres.groupegalerieslafayette.com","teamtailor","{""origin"": ""https://carrieres.groupegalerieslafayette.com""}","","ALLOWED"
"Conde Nast France","condenast.wd115.myworkdayjobs.com","workday","{""tenant"": ""condenast"", ""site"": ""CondeCareers"", ""origin"": ""https://condenast.wd115.myworkdayjobs.com"", ""appliedFacets"": {""locationCountry"": [""54c5b6971ffb4bf0b116fe7651ec789a""]}}","","ALLOWED"
"Drunk Elephant +2","careers.shiseido.com","successfactors","{""origin"": ""https://careers.shiseido.com""}","","ALLOWED"
"Escada Parfums +16","careers.coty.com","successfactors","{""origin"": ""https://careers.coty.com""}","","ALLOWED"
"Canada Goose","canadagoose.wd3.myworkdayjobs.com","workday","{""tenant"": ""canadagoose"", ""site"": ""CanadaGooseCareers"", ""origin"": ""https://canadagoose.wd3.myworkdayjobs.com""}","","ALLOWED"
"APM Monaco","","workable","{""account"": ""apm-monaco""}","","ALLOWED"
"De Beers London","","smartrecruiters-whitelabel","{""company"": ""AngloAmericanDeBeersGroup""}","","ALLOWED"
"Eram +3","recrutement.groupe-eram.com","magnet","{""siteKey"": ""61ffe84ad14ba0fdbb448d2d388ac4e3"", ""origin"": ""https://recrutement.groupe-eram.com""}","","ALLOWED"
"Audemars Piguet","","smartrecruiters-whitelabel","{""company"": ""audemarspiguet""}","","ALLOWED"
"Polène","","ashby","{""vendor"": ""ashby"", ""slug"": ""polene-paris"", ""board_url"": ""https://jobs.ashbyhq.com/polene-paris"", ""api_url"": ""https://api.ashbyhq.com/posting-api/job-board/polene-paris"", ""method"": ""GET"", ""response_path"": ""jobs[]"", ""id_field"": ""id"", ""discovered_via"": ""https://www.polene-paris.com/blogs/rh/careers""}","","ALLOWED"
"Helena Rubinstein +8","","wttj","{""slug"": ""l-oreal""}","","ALLOWED"
"Maison Margiela","careers.otb.net","successfactors","{""origin"": ""https://careers.otb.net"", ""brandProperty"": ""dept""}","","ALLOWED"
"Egon Zehnder","","workable","{""account"": ""ezrecruiting""}","","ALLOWED"
"Maison 123","career.maison123.com","teamtailor","{""origin"": ""https://career.maison123.com""}","","ALLOWED"
"Soeur","","teamtailor","{""vendor"": ""teamtailor"", ""subdomain"": ""soeur-1711354805"", ""careers_url"": ""https://soeur-1711354805.teamtailor.com/"", ""jobs_url"": ""https://soeur-1711354805.teamtailor.com/jobs""}","","ALLOWED"
