maison,kind,config_json,jobs,with_description
"Conde Nast France",workday,"{""tenant"":""condenast"",""site"":""CondeCareers"",""origin"":""https://condenast.wd115.myworkdayjobs.com"",""appliedFacets"":{""locationCountry"":[""54c5b6971ffb4bf0b116fe7651ec789a""]}}",139,139
"Karla Otto",teamtailor,"{""origin"":""https://careers.karlaotto.com""}",13,13
"Madame Figaro",wttj,"{""slug"":""groupe-figaro""}",12,12
"NYX Professional Makeup",avature,"{""vendor"":""avature"",""origin"":""https://careers.loreal.com"",""sitemap"":""https://careers.loreal.com/en_US/jobs/sitemap.xml"",""searchUrl"":""https://careers.loreal.com/en_US/jobs/SearchJobs/?search={TERM}&jobOffset={N}"",""brandMatch"":""job-title slug + keyword search union"",""sitemapUrl"":""https://careers.loreal.com/en_US/jobs/sitemap.xml""}",325,0
"Apivita",workable,"{""account"":""apivita""}",11,11
"Asphalte",wttj,"{""slug"":""asphalte""}",11,11
"Breal",magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com""}",408,408
"Penhaligon's",successfactors,"{""origin"":""https://jobs.puig.com"",""listingUrl"":""https://jobs.puig.com/search/?q=&startrow={N}"",""brandMatch"":""job slug""}",226,226
"Alaïa",workday,"{""tenant"":""richemont"",""site"":""broadbean_external"",""origin"":""https://richemont.wd3.myworkdayjobs.com""}",423,273
"Baccarat",talentview,"{""slug"":""baccarat"",""websiteId"":3038}",10,10
"Bocage",magnet,"{""siteKey"":""61ffe84ad14ba0fdbb448d2d388ac4e3"",""origin"":""https://recrutement.groupe-eram.com""}",89,89
"Erborian",successfactors,"{""origin"":""https://careers-group.loccitane.com""}",15,15
"Armand Thiery",wttj,"{""slug"":""armand-thiery""}",8,8
"Maison Kitsune",wttj,"{""slug"":""kitsune-fr""}",8,8
"Aime",wttj,"{""slug"":""aime""}",7,7
"Iris van Herpen",recruitee,"{""subdomain"":""irisvanherpen"",""account"":""irisvanherpen""}",6,6
"Typology",teamtailor,"{""vendor"":""teamtailor"",""slug"":""typology-1732032895"",""origin"":""https://typology-1732032895.teamtailor.com"",""path"":""/jobs"",""careers_page"":""https://www.typology.com/rejoindre-lequipe""}",6,6
"Simone Perele",wttj,"{""vendor"":""welcometothejungle"",""org_slug"":""simone-perele"",""org_name"":""Simone Pérèle"",""index"":""wttj_jobs_production_fr"",""slug"":""simone-perele""}",5,5
"Cle de Peau Beaute",successfactors,"{""origin"":""https://careers.shiseido.com""}",134,134
"DFS",successfactors,"{""origin"":""https://careers.dfs.com""}",4,4
"Dr. Vranjes Firenze",successfactors,"{""origin"":""https://careers-group.loccitane.com""}",15,15
"Margaret Howell",teamtailor,"{""origin"":""https://careers.margarethowell.co.uk""}",4,4
"Mellow Yellow",magnet,"{""siteKey"":""61ffe84ad14ba0fdbb448d2d388ac4e3"",""origin"":""https://recrutement.groupe-eram.com"",""apiBase"":""https://api.magnet.work"",""companyFilter"":""Mellow Yellow magasin""}",89,89
"CoverGirl",successfactors,"{""origin"":""https://careers.coty.com""}",116,116
"Embryolisse",wttj,"{""slug"":""embryolisse""}",3,3
"Eres",wttj,"{""slug"":""maison-eres""}",3,3
"Vogue France",workday,"{""tenant"":""condenast"",""site"":""CondeCareers"",""origin"":""https://condenast.wd115.myworkdayjobs.com"",""appliedFacets"":{""locationCountry"":[""54c5b6971ffb4bf0b116fe7651ec789a""]},""brandMatch"":""title matches /vogue/i""}",139,139
"NARS",radancy,"{""origin"":""https://jobs.shiseidoamericas.com"",""sitemap"":""https://jobs.shiseidoamericas.com/sitemap.xml"",""scope"":""Americas only"",""sitemapUrl"":""https://jobs.shiseidoamericas.com/sitemap.xml""}",46,46
"Parade",magnet,"{""siteKey"":""61ffe84ad14ba0fdbb448d2d388ac4e3"",""origin"":""https://recrutement.groupe-eram.com"",""api"":""https://api.magnet.work/v2/job-offers""}",89,89
"Vanity Fair France",workday,"{""tenant"":""condenast"",""site"":""CondeCareers"",""origin"":""https://condenast.wd115.myworkdayjobs.com"",""appliedFacets"":{""locationCountry"":[""54c5b6971ffb4bf0b116fe7651ec789a""]},""brandMatch"":""title matches /vanity\\s*fair/i""}",139,139
"Bruno Banani",successfactors,"{""origin"":""https://careers.coty.com""}",116,116
"Christian Louboutin Beauty",successfactors,"{""origin"":""https://jobs.puig.com""}",226,226
"Le Slip Francais",wttj,"{""slug"":""le-slip-francais""}",1,1
"Marc Jacobs Fragrances",successfactors,"{""origin"":""https://careers.coty.com""}",116,116
"Max Factor",successfactors,"{""origin"":""https://careers.coty.com""}",116,116
"Melvita",successfactors,"{""origin"":""https://careers-group.loccitane.com"",""listingUrl"":""https://careers-group.loccitane.com/search/?startrow=0""}",15,15
"Payot",wttj,"{""vendor"":""welcometothejungle"",""slug"":""payot"",""org_reference"":""OHpXMF"",""org_api"":""https://api.welcometothejungle.com/api/v1/organizations/payot"",""jobs_url"":""https://www.welcometothejungle.com/fr/companies/payot/jobs"",""embed_on_brand_site"":""https://www.welcometothejungle.com/fr/companies/payot/embed?c=3&l=2"",""algolia"":{""app_id"":""CSEKHVMS53"",""index"":""wttj_jobs_production_fr"",""filter"":""organization.slug:payot""},""listingUrl"":""https://www.welcometothejungle.com/fr/companies/payot/jobs""}",1,1
"Philosophy",successfactors,"{""origin"":""https://careers.coty.com"",""listingUrl"":""https://careers.coty.com/search/?q=&startrow={N}"",""brandMatch"":""job slug""}",116,116
"Rimmel",successfactors,"{""origin"":""https://careers.coty.com"",""vendor"":""SuccessFactors"",""listingUrl"":""https://careers.coty.com/search/?startrow={N}"",""pageSize"":25,""brandMatch"":""title matches /rimmel/i""}",116,116
