nom	site	bucket	detail
daisy blue naturals	https://daisybluenaturals.com/	alive	200
hangowear	https://www.hangowear.de/	alive	200
eckhaus latta	https://eckhauslatta.com/	alive	200
georgespaul	https://georgespaul.fr/	alive	200
freitag	https://www.freitag.ch/	net-error	redirect count exceeded
esp	https://esp-oslo.no/	alive	200
il gufo	https://www.ilgufo.com/	alive	200
fortify	http://www.fortifyskincare.com/	alive	200
dancing leopard	https://www.dancingleopard.co.uk/	alive	200
gladfolk	https://wearegladfolk.com/	alive	200
courreges	https://www.courreges.com/	alive	200
genial day	https://www.genialday.com/	alive	200
chi chi	https://www.chichiwholesale.com/	http-dead	402
ezze wear	https://www.ezzewearstore.ca/	timeout	
franceschetti	https://www.franceschetti.it/	alive	200
fenella smith	https://fenellasmith.com/	alive	200
fm2050	https://fm2050.com/	alive	200
greenpoint	http://www.greenpointfashion.com/	http-dead	404
early majority	https://www.earlymajority.com/	http-dead	404
ivanhoe of sweden	https://ivanhoe.se/en	alive	200
capezio	https://www.capezio.com/	alive	200
g.h. bass & co.	http://ghbass.com/	alive	200
galiente	https://www.galiente.com/	alive	200
global work	https://www.globalwork.jp/	alive	200
eudoxie	https://eudoxie.shop/	alive	200
eight saints	https://eightsaintsskincare.com/	alive	200
èvoque beauty	https://evoquecares.com/	alive	200
gardeur	https://www.atelier-gardeur.de/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
denoir cosmetics	http://denoircosmetics.com/	alive	200
dr. amy wechsler	https://spotlessclinics.com/	alive	200
havan	https://www.havan.com.br/	blocked	403
greater than beauty	https://greaterthanbeauty.co/	alive	200
foodtextile	https://foodtextile.jp/	alive	200
coco d'este	https://www.cocodeste.com/	alive	200
erve shop	https://www.erve.shop/	alive	200
fownes brothers	http://www.fownesbrothers.com/	http-dead	404
etiko	https://etiko.com.au/?oid=76&affid=1&source_id=GoY-rating&sub1=brandpage	alive	200
fabula nebulae	http://www.fabulanebulae.com/	alive	200
gibson london	https://www.gibsonlondon.com/	tls-error	CERT_HAS_EXPIRED
harris scarfe	http://www.harrisscarfe.com.au/	net-error	redirect count exceeded
genrage	https://genrage.com/	alive	200
goophone	https://www.goophoneshops.com/	alive	200
hallyu	https://masque.bar/collections/hallyu.html	alive	200
finery	https://www.finerylondon.com/	alive	200
garment project	https://www.garmentproject.com/	alive	200
fluco	https://www.fluco.de/	alive	200
hobbs london	https://www.hobbs.com/	alive	200
emanuele bicocchi	https://www.emanuelebicocchi.it/?lang=en%3Futm_source%3DGoodOnYou+App	alive	200
essentiel element spa	http://hoteliers.gilchristsoames.com/our-products/classic/essentiel-elements-spa/	http-dead	404
gossard	https://www.gossard.com/	blocked	403
butcher of blue	https://www.butcherofblue.com/	alive	200
cubavera	https://www.cubavera.com/	blocked	403
golbary	https://www.golbary.co.il/	blocked	403
heather	https://www.dot-st.com/heather/	alive	200
hansen garments	https://www.hansengarments.com/	alive	200
elle polish	http://www.ellepolish.com/	alive	200
i.am+	https://www.iam-clothing.com/	http-dead	402
fokus očná optika	https://fokusoptika.sk/	alive	200
dresden	https://dresden.vision/	alive	200
henné organics	https://henneorganics.com/	alive	200
gabriela hearst	http://www.gabrielahearst.com/	alive	200
iredale cosmetics  inc.	http://www.janeiredale.com/	alive	200
erlich textil	https://erlich-textil.de/	alive	200
dr. eddie's happy cappy	https://happycappyshampoo.com/	alive	200
gracious may	https://www.graciousmay.com/	alive	200
club voltaire	https://www.fashionhouse-donnamaria.nl/	alive	200
igor	https://www.igordobranic.com/	alive	200
for horses	https://forhorses.it/	alive	200
dreffa	http://www.dreffa.com/	timeout	
guest in residence	https://guestinresidence.com/	alive	200
draper james	https://draperjames.com/	alive	200
hiso	https://www.hiso.ca/	alive	200
hafendieb	https://www.hafendieb.de/	alive	200
everyday yoga	https://www.everydayyoga.com/	alive	200
fiorucci	https://www.fiorucci.com/	alive	200
ecko unltd	https://www.ecko.com/	alive	200
highbrow hippie	https://highbrowhippie.com/collections/highbrow-hippie-haircare-and-wellness?gad_source=1	alive	200
jostar online	https://jostaronline.com/	alive	200
eliurpi	https://www.eliurpi.com/	alive	200
hi lo the label	https://hilothelabel.com/	alive	200
ethniks	https://www.ethniks.fr/	alive	200
de prati	http://www.deprati.com.ec/	blocked	403
french connection	https://eu.frenchconnection.com/	blocked	403
control corrective skincare systems	http://www.controlcorrective.com/	timeout	
dissona	http://www.dissona.com/	timeout	
julien brandt	https://julienbrandt.ch/	alive	200
i pekar	https://ildipekar.com/	alive	200
krochet kids	https://www.krochetkids.org/	alive	200
esas nyc	http://www.esasnyc.com/	alive	200
drumohr	http://www.drumohr.com/	alive	200
fat moose	https://fatmoosebrand.com/	alive	200
epicuren discovery	https://epicuren.com/	alive	200
ergobag	https://www.ergobag.de/	alive	200
instantfigure	https://instantfigure.com/	alive	200
dose of colors	http://doseofcolors.com/	alive	200
first honey	https://firsthoney.com/	alive	200
elevated	http://www.taylorsnatural.com/	alive	200
dolce vita	https://www.dolcevita.com/	alive	200
e5 mode	https://www.e5.be/	alive	200
