marque(s),domaine_marque,url_morte_du_referentiel,deja_teste_par_nous,ce_qu_il_faut_trouver,ATS_si_tu_le_vois,URL_du_board,offres_visibles
Boyner,boyner.com.tr,https://careers.boyner.com.tr,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Breuninger,breuninger.com,https://karriere.breuninger.com,page carrière trouvée mais aucun ATS lisible,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Brunello Cucinelli,brunellocucinelli.com,https://careers.brunellocucinelli.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Buckle,buckle.com,https://careers.buckle.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Carel,carel.fr,https://carrieres.carel.fr,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
CCC,ccc.eu,https://careers.ccc.eu,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Champion,hanesbrands.com,https://careers.hanesbrands.com,page carrière trouvée mais aucun ATS lisible,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Christian Louboutin,christianlouboutin.com,https://careers.christianlouboutin.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Clarks,clarks.com,https://careers.clarks.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Courrèges,courreges.com,https://careers.courreges.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Craft,craft.se,https://careers.craft.se,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Delsey,delsey.com,https://careers.delsey.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Descente,descente.co.jp,https://careers.descente.co.jp,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Desigual,desigual.com,https://careers.desigual.com,page carrière trouvée mais aucun ATS lisible,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Dr. Martens,drmartens.com,https://careers.drmartens.com,page carrière trouvée mais aucun ATS lisible,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Eddie Bauer,eddiebauer.com,https://careers.eddiebauer.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Esprit,esprit.com,https://careers.esprit.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Farfetch,farfetch.com,https://www.farfetch.com/careers,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Fear of God,fearofgod.com,https://careers.fearofgod.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Fila,fila.com,https://careers.fila.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Forever 21,forever21.com,https://careers.forever21.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Fossil,fossilgroup.com,https://careers.fossilgroup.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Frame,frame-store.com,https://careers.frame-store.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Furla,furla.com,https://careers.furla.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Goldwin,goldwin.co.jp,https://careers.goldwin.co.jp,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Herno,herno.com,https://careers.herno.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Hobbs,hobbs.com,https://careers.hobbs.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Holzweiler,holzweiler.com,https://careers.holzweiler.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
IKKS,ikks.com,https://carrieres.ikks.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Iro,iroparis.com,https://careers.iroparis.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Isabel Marant,isabelmarant.com,https://careers.isabelmarant.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Jelmoli,jelmoli.ch,https://jobs.jelmoli.ch,page carrière trouvée mais aucun ATS lisible,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Julien d’Orcel,julien-dorcel.com,https://carrieres.julien-dorcel.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Kith,kith.com,https://careers.kith.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Kurt Geiger,kurtgeiger.com,https://careers.kurtgeiger.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Lands' End,landsend.com,https://careers.landsend.com,page carrière trouvée mais aucun ATS lisible,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Le Coq Sportif,lecoqsportif.com,https://carrieres.lecoqsportif.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Le Slip Français,leslipfrancais.fr,https://careers.leslipfrancais.fr,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Le Tanneur,letanneur.com,https://carrieres.letanneur.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Lindberg | Maui Jim,keringeyewear.com,https://careers.keringeyewear.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Lise Charmel,lisecharmel.com,https://carrieres.lisecharmel.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Lucky Brand,luckybrand.com,https://careers.luckybrand.com,page carrière trouvée mais aucun ATS lisible,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Macron,macron.com,https://careers.macron.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Mephisto,mephisto.com,https://carrieres.mephisto.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Missoni,missoni.com,https://careers.missoni.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Muji,muji.com,https://jobs.muji.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Off-White,off---white.com,https://careers.off---white.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Office London,office.co.uk,https://careers.office.co.uk,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Palace,palaceskateboards.com,https://careers.palaceskateboards.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Palm Angels,palmangels.com,https://careers.palmangels.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Paul & Shark,paulandshark.com,https://careers.paulandshark.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Phase Eight | Whistles,tfgbrands.co.uk,https://careers.tfgbrands.co.uk,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Revolve,revolve.com,https://careers.revolve.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Riachuelo,riachuelo.com.br,https://trabalheconosco.riachuelo.com.br,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Ripley,ripley.cl,https://trabaja.ripley.cl,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Roberto Cavalli,robertocavalli.com,https://careers.robertocavalli.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Roots,roots.com,https://careers.roots.com,page carrière trouvée mais aucun ATS lisible,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
RougeGorge,rougegorge.com,https://recrutement.rougegorge.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Rouje,rouje.com,https://careers.rouje.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Rustan's,rustans.com,https://careers.rustans.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
s.Oliver,soliver.com,https://careers.soliver.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Saint James,saint-james.fr,https://carrieres.saint-james.fr,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Sergio Rossi,sergiorossi.com,https://careers.sergiorossi.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Shoppers Stop,shoppersstop.com,https://careers.shoppersstop.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
SKP,skp-beijing.com,https://careers.skp-beijing.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Snidel,mashgroup.jp,https://careers.mashgroup.jp,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Sports Direct,frasers.group,https://careers.frasers.group,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Stuart Weitzman,caleres.com,https://careers.caleres.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Stüssy,stussy.com,https://careers.stussy.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Tabio,tabio.com,https://careers.tabio.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Tally Weijl,tally-weijl.com,https://careers.tally-weijl.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Ted Baker,authentic.com,https://careers.authentic.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Tillys,tillys.com,https://careers.tillys.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Tom Tailor,tom-tailor.com,https://careers.tom-tailor.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Triumph,triumph.com,https://careers.triumph.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
United Arrows,united-arrows.co.jp,https://careers.united-arrows.co.jp,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Vakko,vakko.com.tr,https://careers.vakko.com.tr,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Vilebrequin,vilebrequin.com,https://careers.vilebrequin.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Vince,vince.com,https://careers.vince.com,page carrière trouvée mais aucun ATS lisible,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Wacoal,wacoal.co.jp,https://careers.wacoal.co.jp,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Westside (Trent),trent-tata.com,https://careers.trent-tata.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Zadig & Voltaire,zadig-et-voltaire.com,https://careers.zadig-et-voltaire.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Zumiez,zumiez.com,https://jobs.zumiez.com,page carrière trouvée mais aucun ATS lisible,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
