maison	kind	config	board_name	jobs	sample_titles	sample_url	reason
Grow From Nature	personio	{"subdomain":"grow","host":"grow.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://grow.jobs.personio.de/job/1458676	no board name to compare
Relay Jeans	lever	{"site":"relay"}		3	Frontend Developer (React, TypeScript) | Lead Frontend Developer (React, TypeScript) | Senior Frontend Developer (React, TypeScript)	https://jobs.lever.co/relay/298f0f7a-d493-49fa-935d-89a76ef09665	no board name to compare
Harmony	lever	{"site":"harmony"}		9	Blockchain Engineer | Community Manager | Marketing Lead	https://jobs.lever.co/harmony/e6d9d9d8-ec2a-4691-9efe-9810ca25a99e	no board name to compare
Harmony Handcrafted	lever	{"site":"harmony"}		9	Blockchain Engineer | Community Manager | Marketing Lead	https://jobs.lever.co/harmony/e6d9d9d8-ec2a-4691-9efe-9810ca25a99e	no board name to compare
Sabrina Zeng	personio	{"subdomain":"sabrina","host":"sabrina.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://sabrina.jobs.personio.de/job/848062	no board name to compare
Sports Authority	personio	{"subdomain":"sports","host":"sports.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://sports.jobs.personio.de/job/1823201	no board name to compare
Sports Depo	personio	{"subdomain":"sports","host":"sports.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://sports.jobs.personio.de/job/1823201	no board name to compare
Sports Direct	personio	{"subdomain":"sports","host":"sports.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://sports.jobs.personio.de/job/1823201	no board name to compare
Sports Research / SR Natural	personio	{"subdomain":"sports","host":"sports.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://sports.jobs.personio.de/job/1823201	no board name to compare
Trixie Cosmetics	personio	{"subdomain":"trixie","host":"trixie.jobs.personio.de"}		2	Initiativbewerbung (Festanstellung) | Social Media (Werkstudent)	https://trixie.jobs.personio.de/job/2271600	no board name to compare
Victoria	personio	{"subdomain":"victoria","host":"victoria.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://victoria.jobs.personio.de/job/1762115	no board name to compare
VICTORIA (LUGGAGE)	personio	{"subdomain":"victoria","host":"victoria.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://victoria.jobs.personio.de/job/1762115	no board name to compare
Victoria Slavinskaia	personio	{"subdomain":"victoria","host":"victoria.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://victoria.jobs.personio.de/job/1762115	no board name to compare
Victoria Beckham	personio	{"subdomain":"victoria","host":"victoria.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://victoria.jobs.personio.de/job/1762115	no board name to compare
Victoria's Secret	personio	{"subdomain":"victoria","host":"victoria.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://victoria.jobs.personio.de/job/1762115	no board name to compare
WHITE bIRD	personio	{"subdomain":"white-bird","host":"white-bird.jobs.personio.de"}		1	Initiativbewerbung (Festanstellung)	https://white-bird.jobs.personio.de/job/2000877	no board name to compare
Mindful Botanicals	personio	{"subdomain":"mindful","host":"mindful.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://mindful.jobs.personio.de/job/1824322	no board name to compare
Nordisk	personio	{"subdomain":"nordisk","host":"nordisk.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://nordisk.jobs.personio.de/job/2775750	no board name to compare
Open End	personio	{"subdomain":"open","host":"open.jobs.personio.de"}		10	Buying Assistant | Buying Assistant (Production Team) | Enterprise Account Manager	https://open.jobs.personio.de/job/2759933	no board name to compare
Patrick McDowell	personio	{"subdomain":"patrick","host":"patrick.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://patrick.jobs.personio.de/job/1667090	no board name to compare
Patrick Smith Botanicals	personio	{"subdomain":"patrick","host":"patrick.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://patrick.jobs.personio.de/job/1667090	no board name to compare
