name,canonical_slug,segment,group,source,confidence
Christian Louboutin,christian-louboutin,FASHION,,https://www.comitecolbert.com/member-sitemap.xml,HIGH
Christian Louboutin Beauty,christian-louboutin-beauty,BEAUTY,Puig,https://careers.puig.com/love-brands,HIGH
Christian Wijnants,christian-wijnants,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
Christofle,christofle,LUXURY,,https://www.comitecolbert.com/member-sitemap.xml,HIGH
Christopher Esber,christopher-esber,FASHION,,https://andam.fr/laureats-andam/ | https://fhcm.paris/fr/paris-fashion-week/maisons | https://fhcm.paris/fr/haute-couture-week/maisons | https://fhcm.paris/fr/haute-joaillerie/maisons,HIGH
Citadium,citadium,RETAIL,Groupe Printemps,https://www.groupe-printemps.com/enseignes,HIGH
Clarins,clarins,BEAUTY,Clarins Group,https://www.groupeclarins.com/brand-sitemap.xml,HIGH
Claudie Pierlot,claudie-pierlot,FASHION,SMCP,https://www.smcp.com/fr/marques/,HIGH
Cle de Peau Beaute,cle-de-peau-beaute,BEAUTY,Shiseido Group,https://corp.shiseido.com/en/brands/,HIGH
CLEOR,cleor,JEWELRY_WATCHES,,https://www.cleor.com,HIGH
Clinique,clinique,BEAUTY,Estee Lauder,https://www.elcompanies.com/en/our-brands,HIGH
Clyda,clyda,JEWELRY_WATCHES,THOM Group,https://thomgroup.com/,HIGH
Coach Parfums,coach-parfums,BEAUTY,Interparfums SA,https://www.interparfums.fr/,HIGH
Color Wow,color-wow,BEAUTY,L'Oreal,https://www.loreal.com/en/brands/,HIGH
Comme des Garçons,comme-des-garcons,FASHION,,https://fhcm.paris/fr/paris-fashion-week/maisons | https://fhcm.paris/fr/haute-couture-week/maisons | https://fhcm.paris/fr/haute-joaillerie/maisons,HIGH
Conde Nast France,conde-nast-france,MEDIA_AGENCY,Conde Nast,https://www.condenast.com/fr,LOW
Confection de Sully,confection-de-sully,SUPPLIER,,https://www.gff-groupement.fr/les-ateliers-engages/,HIGH
Coperni,coperni,FASHION,,"api:https://prize.cdn.prismic.io/api/v2/documents/search?q=[[at(document.type,""designer_profile"")]] | https://coperni.com/",HIGH
Cosmogen,cosmogen,SUPPLIER,,https://www.cosmogen.fr,HIGH
Courrèges,courreges,FASHION,,https://catwalks.io/sitemap-maisons.xml | https://fhcm.paris/fr/maisons?status=1,HIGH
Coutumes,coutumes,JEWELRY_WATCHES,THOM Group,https://thomgroup.com/,HIGH
CoverGirl,covergirl,BEAUTY,Coty,https://www.coty.com/our-brands/all-brands,HIGH
