Maison,Offres actives,Secteur,Groupe,Site officiel (à remplir)
"Hamilton",1,"RETAIL","",""
"Micro Crystal",1,"RETAIL","",""
"Movado Group España S.L.U.",1,"RETAIL","",""
"Swarovski Mobility",1,"JEWELRY_WATCHES","",""
"Canada Goose HK Limited, Macau Branch",1,"RETAIL","",""
"MOM Le Prélet",1,"RETAIL","",""
"Coach New Zealand",1,"RETAIL","",""
"MGI Luxury Malaysia Bhd",1,"FASHION","",""
"MoEa",1,"RETAIL","",""
"Canada Goose EU B.V. UK Branch",1,"RETAIL","",""
"Canada Goose UK Retail Limited, Ireland Branch",1,"RETAIL","",""
"B's International",1,"RETAIL","",""
"Canada Goose Retail Denmark ApS",1,"RETAIL","",""
"FHH",1,"RETAIL","",""
"MANGO NORGE A.S.",1,"FASHION","",""
"MANGO SLOVENSKO, s.r.o.",1,"FASHION","",""
"Löplabbet",1,"RETAIL","",""
"Lascor",1,"RETAIL","",""
"Mango Korea, Ltd",1,"FASHION","",""
"MANGO UKRAINE TOV",1,"FASHION","",""
"MANGO DANMARK APS",1,"FASHION","",""
"GISELE PARIS",1,"FASHION","",""
"LIBERTY'S MAGAZINE",1,"FASHION","",""
"MANGO BULGARIA EOOD (EUR)",1,"FASHION","",""
"TARATATA BIJOUX",1,"JEWELRY_WATCHES","",""
"Jennyfer",1,"RETAIL","",""
"POINT PLUME",1,"FASHION","",""
"LUDOVIC WINTERSTAN",1,"FASHION","",""
"CTZAR",1,"FASHION","",""
"JUST FACES MGMT",1,"FASHION","",""
"CITIZENS OF HUMANITY",1,"JEWELRY_WATCHES","",""
"VESTIAIRE DES PARISIENNES",1,"FASHION","",""
"MAISON LEMARIÉ",1,"FASHION","",""
"COMPTOIR VINTAGE",1,"FASHION","",""
"ROSEANNA",1,"FASHION","",""
"STEVEN PASSARO",1,"FASHION","",""
"MAIER",1,"FASHION","",""
"Soma",1,"RETAIL","",""
"MISERICORDIA",1,"FASHION","",""
"MANPOWER CABINET DE RECRUTEMENT COMMERCE MODE LUXE",1,"FASHION","",""
"AXENTIA",1,"FASHION","",""
"UNIQLO EUROPE LTD. LUXEMBOURG BRANCH",1,"FASHION","",""
"New Balance Belgium Retail BVBA",1,"RETAIL","",""
"LA RÉPONSE D",1,"FASHION","",""
"LERROS",1,"RETAIL","",""
"MANG PRODUCTION",1,"FASHION","",""
"LAURE DE SAGAZAN",1,"FASHION","",""
"V DE VINSTER",1,"FASHION","",""
"IBIS ROUGE",1,"FASHION","",""
"KSI",1,"FASHION","",""
"FAIR FASHION AGENT",1,"FASHION","",""
"CARVEN",1,"FASHION","",""
"Kidzart",1,"RETAIL","",""
"DEELUXE",1,"FASHION","",""
"LA MODE VINTAGE",1,"FASHION","",""
"POIRAY",1,"JEWELRY_WATCHES","",""
"MODELOR",1,"FASHION","",""
"Movado Group of Canada Inc. (Retail)",1,"RETAIL","",""
"ALBYA",1,"FASHION","",""
"SAKS COM",1,"RETAIL","",""
"ELLE INTERNATIONAL",1,"FASHION","",""
"PARAMOUR",1,"FASHION","",""
"Canada Goose Services Limited, Paris Branch",1,"RETAIL","",""
"CANOPEA",1,"FASHION","",""
"MODESIGN",1,"FASHION","",""
"NRBV Admin (inactive)",1,"RETAIL","",""
"SAS LA RUCHE SKINCARE",1,"BEAUTY","",""
"DUMEBI",1,"FASHION","",""
"American Converse",1,"RETAIL","",""
"Converse Footwear Technical Service (Zhongshan)",1,"RETAIL","",""
"MUM OF",1,"FASHION","",""
"LAURENCE BRAS",1,"FASHION","",""
"BERNADETTE",1,"RETAIL","",""
"Nike Taiwan",1,"RETAIL","",""
"ATELIER 19.6",1,"FASHION","",""
"ZIMMERMANN",1,"FASHION","",""
"PERRIER COMMUNICATION",1,"FASHION","",""
"VisionL",1,"RETAIL","",""
"RIVER WOODS",1,"FASHION","",""
"LUNAS FRANCE",1,"FASHION","",""
"LUMYA STUDIO",1,"FASHION","",""
