Maison,Offres actives,Secteur,Groupe,Site officiel (à remplir)
"CAMBIO",9,"RETAIL","",""
"BRS Nike Taiwan",8,"RETAIL","",""
"MODELOR COUTURE",8,"FASHION","",""
"WSS",8,"RETAIL","",""
"MECCA",8,"RETAIL","",""
"MANGO LUXEMBOURG S.à.r.l.",8,"FASHION","",""
"NIKE Retail Poland",7,"RETAIL","",""
"Movado Retail Group, Inc.",5,"RETAIL","",""
"LFP EMPLOI MODE",6,"FASHION","",""
"Coach Shanghai Limited 2",8,"RETAIL","",""
"TALA",8,"RETAIL","",""
"NIKE India Private",8,"RETAIL","",""
"Minimalist",8,"RETAIL","",""
"Coach Singapore Pte.",7,"RETAIL","",""
"Swarovski Korea",7,"JEWELRY_WATCHES","",""
"Madewell Stores Madewell, Inc.",5,"RETAIL","",""
"MANGO GARMENTS HELLAS E.P.E.",7,"FASHION","",""
"Profuomo",7,"RETAIL","",""
"Coach Stores Austria",7,"RETAIL","",""
"Coach Stores Puerto Rico",7,"RETAIL","",""
"PT Nike Indonesia",7,"RETAIL","",""
"Hades",7,"RETAIL","",""
"CONDE NAST (INDIA) PVT LTD - 30361",7,"RETAIL","",""
"Mellow Yellow",7,"FASHION","Groupe Eram",""
"NRBV Turkey",4,"RETAIL","",""
"Novara",7,"RETAIL","",""
"Thélios",7,"FASHION","LVMH",""
"Stella McCartney (Japan)",7,"RETAIL","",""
"Broporma Retail SLU",7,"RETAIL","",""
"Aime",7,"BEAUTY","",""
"L'ATELIER D'AMAYA",1,"FASHION","",""
"Swarovski Bohemia spol.s.r.o.",7,"JEWELRY_WATCHES","",""
"Converse Sporting Goods",5,"RETAIL","",""
"BIOLOGIQUE RECHERCHE",6,"BEAUTY","",""
"PM Studio Paris",6,"RETAIL","",""
"MANUCURIST",6,"RETAIL","",""
"LITTLE CIGOGNE",6,"RETAIL","",""
"Panier Des Sens",6,"RETAIL","",""
"CONFIDENTIEL",5,"FASHION","",""
"BRUNELLO CUCINELLI (ENGLAND)",6,"RETAIL","",""
"MANPOWER COUTURE MODE ET LUXE",5,"FASHION","",""
"Nike (Thailand)",6,"RETAIL","",""
"NIKE U",6,"RETAIL","",""
"Movado Group Private",6,"RETAIL","",""
"Pied de Biche",6,"RETAIL","",""
"ASHOKA",6,"RETAIL","",""
"Swarovski Kristal Ticaret Ltd Sti.",6,"JEWELRY_WATCHES","",""
"Michael Kors (Switzerland)",6,"RETAIL","",""
"RIM PARFUM",6,"BEAUTY","",""
"NIKE Vietnam Limited Liability Company",6,"RETAIL","",""
"Tapestry, Inc.",6,"RETAIL","",""
"Swarovski Internat. N. Z.",5,"JEWELRY_WATCHES","",""
"NIKE Retail Austria",5,"RETAIL","",""
"NIKE Retail Ireland",5,"RETAIL","",""
"MGI Luxury Group Sàrl",5,"FASHION","",""
"Swarovski Ibérica",5,"JEWELRY_WATCHES","",""
"Donzé-Baume",5,"RETAIL","",""
"Swarovski Manufacturing (Thailand)",5,"JEWELRY_WATCHES","",""
"CONDE NAST (INDIA) PVT LTD - 30360",5,"RETAIL","",""
"SEP",5,"RETAIL","",""
"YES",5,"RETAIL","",""
"SHOWROOM GROUP",5,"FASHION","",""
"Ghost",4,"RETAIL","",""
"Baron",5,"RETAIL","",""
"Cleo",5,"RETAIL","",""
"Rado",5,"RETAIL","",""
"Sarenza",5,"RETAIL","Groupe Beaumanoir",""
"UNIQLO EUROPE LIMITED ITALIAN BRANCH",5,"FASHION","",""
"ROTATE",5,"RETAIL","",""
"Orlando Bathing Suit, LLC",1,"RETAIL","",""
"Versace España S.A.U.",5,"RETAIL","",""
"Hindb",5,"RETAIL","",""
"DJULA",5,"FASHION","",""
"KSI RETAIL",2,"RETAIL","",""
"MANGO GARMENTS ROM.",5,"FASHION","",""
"Glenmorangie",5,"LUXURY","",""
"Odaje (ex M. Moustache)",5,"RETAIL","",""
"PICARD",4,"RETAIL","",""
"Choose",5,"RETAIL","",""
"Nimble",5,"RETAIL","",""
"Bettina",5,"RETAIL","",""
"MNG-MANGO U.K. LIMITED",5,"FASHION","",""
"NIKE ELC",5,"RETAIL","",""
"Michael Kors (Europe)",5,"RETAIL","",""
"Edizioni Condé Nast",5,"RETAIL","",""
"The Estée Lauder Companies",4,"BEAUTY","",""
"Veuve Clicquot Ponsardin",4,"LUXURY","",""
"In Haircare",4,"RETAIL","",""
"SAMAYA",1,"FASHION","",""
"FASHION EXPERT",1,"FASHION","",""
"Collector Square",4,"RETAIL","",""
"360 TALENT LONDON",2,"FASHION","",""
"Franchoo",4,"RETAIL","",""
