nom	site	bucket	detail
sea kind	http://www.sea-kind.com/	net-error	ENOTFOUND
spooge	https://spoogespf.com/	net-error	ENOTFOUND
pye shirts	http://www.pyeshirts.com/	net-error	ENOTFOUND
river woods	https://www.riverwoods.net/en/	alive	200
neo noir	https://www.neonoir.com/	net-error	ENOTFOUND
second female	https://www.secondfemale.dk/	net-error	ENOTFOUND
rip curl	https://www.ripcurl.com/	net-error	ENOTFOUND
orangeshine	https://www.orangeshine.com/	net-error	ENOTFOUND
rock point	https://www.rockpoint.cz/	net-error	ENOTFOUND
phenix	https://phenix.jp/en/	net-error	ENOTFOUND
swiss	https://www.swiss.com.pl/	alive	200
paul taylor	https://www.paultaylor.it/en/	alive	200
sinéad o’dwyer	https://sineadodwyer.com/	net-error	ENOTFOUND
tiger prints	https://www.tigerprints.co.uk/	net-error	ENOTFOUND
stein mart	https://www.steinmart.com/	alive	200
restorative botanicals	https://www.restorativebotanicals.com/	net-error	ENOTFOUND
qiaodan	https://www.qiaodan.com/	alive	200
shihara	https://www.shihara.com/	net-error	ENOTFOUND
pedal mafia	https://pedalmafia.cc/	net-error	ENOTFOUND
stevenson overall co.	https://soc-la.com/	alive	200
rich & hanc	https://www.richandhanc.com/	net-error	ENOTFOUND
softandwet	https://www.softandwetundies.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
ræburn	https://www.christopherraeburn.co.uk/	net-error	ENOTFOUND
saie beauty	http://saiehello.com/	net-error	ENOTFOUND
scye	https://scye.co.jp/	net-error	ENOTFOUND
simply9 designs	https://www.simply9designs.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
skin reserve	https://www.skinreserve.com/	alive	200
onelogy	https://onelogy.com/	net-error	ENOTFOUND
sun diego	https://sundiego.com/	net-error	ENOTFOUND
t7berlin	https://www.t7berlin.com/	alive	200
sheep inc	https://sheepinc.com/	alive	200
samo	https://www.samoshoes.com/	server-error	500
rialto jewelry	https://www.rialtojewelry.com/	net-error	ENOTFOUND
poya	https://www.poyaorganics.com/	net-error	ENOTFOUND
